date,total_like,fitness_like,total_save,fitness_save,fitness_total,total_like_save,fitness_share_likesaves,total_workout_minutes,active_energy_total,resting_energy_total,avg_heart_rate,max_heart_rate,intensity_avg,step_count_total,workout_done
2025-02-20,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-21,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-22,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-23,24.0,0.0,0.0,0.0,0.0,24.0,0.0,150.8,747.7918277902511,831.0930240000023,112.74196675247282,167.0,1.8877414255622165,5521.999999999994,1.0
2025-02-24,20.0,0.0,0.0,0.0,0.0,20.0,0.0,57.65,346.4231627914381,2.5868474442011062,107.39430625961494,156.0,3.90243533927807,1080.787597044971,1.0
2025-02-25,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,41.0,0.0,0.0,0.0,0.0,41.0,0.0,51.4,296.96200000000204,4.246282668287572,104.94921550081084,156.0,3.6775346279899823,552.4665780354541,1.0
2025-02-27,26.0,0.0,0.0,0.0,0.0,26.0,0.0,13.05,57.06592436368693,0.0,89.64366246794016,104.0,2.42407288116477,208.02856752046733,1.0
2025-02-28,27.0,0.0,0.0,0.0,0.0,27.0,0.0,117.55,809.9931575599597,1417.6429934519056,111.37116235897743,165.0,4.503109584960555,4105.373473895914,1.0
2025-03-01,28.0,0.0,0.0,0.0,0.0,28.0,0.0,76.75,429.7120819946031,2.0371934307794413,107.24246155934006,149.0,3.4426969431138628,1180.6223725750442,1.0
2025-03-02,29.0,1.0,0.0,0.0,1.0,29.0,0.034482758620689655,107.1,725.087160868932,9.570683713607485,127.79319405320696,166.0,7.623979222086496,2288.803702724764,1.0
2025-03-03,9.0,0.0,0.0,0.0,0.0,9.0,0.0,81.95,416.87444722422015,0.3134630674812377,103.21138930293574,145.0,2.8218028890853275,951.1742151802842,1.0
